,TAXI_OUT
17629,15
6709,18
5273,25
18943,20
22570,16
13759,18
4447,16
24316,9
9652,21
9495,36
23599,27
12165,14
22409,11
629,24
4017,13
9989,21
19337,20
14286,11
18322,12
3275,27
712,18
23665,18
10833,18
13718,16
8009,15
23350,18
28769,23
1512,16
1552,16
5195,17
17684,16
2915,12
16678,20
6812,30
10160,22
14664,18
17377,16
13860,15
15650,22
24854,18
4542,13
1203,29
28005,20
17566,15
20810,25
15834,32
11048,20
21486,29
20153,15
26735,28
8913,18
13701,16
6195,15
19914,26
22239,18
10865,26
9249,18
28690,20
3650,24
20921,14
3594,12
